company_name,count,selected_datetime,polygon
lime,51,2019-08-11 16:00:08,"POLYGON ((-86.78983868689281 36.15682314829093, -86.77191331310722 36.15682314829093, -86.77191331310722 36.17129485170907, -86.78983868689281 36.17129485170907, -86.78983868689281 36.15682314829093))"
lyft,45,2019-08-11 16:00:08,"POLYGON ((-86.78983868689281 36.15682314829093, -86.77191331310722 36.15682314829093, -86.77191331310722 36.17129485170907, -86.78983868689281 36.17129485170907, -86.78983868689281 36.15682314829093))"
spin,99,2019-08-11 16:00:08,"POLYGON ((-86.78983868689281 36.15682314829093, -86.77191331310722 36.15682314829093, -86.77191331310722 36.17129485170907, -86.78983868689281 36.17129485170907, -86.78983868689281 36.15682314829093))"
uber,62,2019-08-11 16:00:08,"POLYGON ((-86.78983868689281 36.15682314829093, -86.77191331310722 36.15682314829093, -86.77191331310722 36.17129485170907, -86.78983868689281 36.17129485170907, -86.78983868689281 36.15682314829093))"
bird,330,2019-08-11 16:00:08,"POLYGON ((-86.7829795056747 36.15523814829094, -86.7650544943253 36.15523814829094, -86.7650544943253 36.16970985170907, -86.7829795056747 36.16970985170907, -86.7829795056747 36.15523814829094))"
lime,52,2019-08-11 16:00:08,"POLYGON ((-86.7829795056747 36.15523814829094, -86.7650544943253 36.15523814829094, -86.7650544943253 36.16970985170907, -86.7829795056747 36.16970985170907, -86.7829795056747 36.15523814829094))"
lyft,47,2019-08-11 16:00:08,"POLYGON ((-86.7829795056747 36.15523814829094, -86.7650544943253 36.15523814829094, -86.7650544943253 36.16970985170907, -86.7829795056747 36.16970985170907, -86.7829795056747 36.15523814829094))"
spin,105,2019-08-11 16:00:08,"POLYGON ((-86.7829795056747 36.15523814829094, -86.7650544943253 36.15523814829094, -86.7650544943253 36.16970985170907, -86.7829795056747 36.16970985170907, -86.7829795056747 36.15523814829094))"
uber,59,2019-08-11 16:00:08,"POLYGON ((-86.7829795056747 36.15523814829094, -86.7650544943253 36.15523814829094, -86.7650544943253 36.16970985170907, -86.7829795056747 36.16970985170907, -86.7829795056747 36.15523814829094))"
bird,371,2019-08-11 16:00:08,"POLYGON ((-86.78710218969172 36.15247414829095, -86.76917781030828 36.15247414829095, -86.76917781030828 36.16694585170906, -86.78710218969172 36.16694585170906, -86.78710218969172 36.15247414829095))"
lime,54,2019-08-11 16:00:08,"POLYGON ((-86.78710218969172 36.15247414829095, -86.76917781030828 36.15247414829095, -86.76917781030828 36.16694585170906, -86.78710218969172 36.16694585170906, -86.78710218969172 36.15247414829095))"
lyft,48,2019-08-11 16:00:08,"POLYGON ((-86.78710218969172 36.15247414829095, -86.76917781030828 36.15247414829095, -86.76917781030828 36.16694585170906, -86.78710218969172 36.16694585170906, -86.78710218969172 36.15247414829095))"
spin,114,2019-08-11 16:00:08,"POLYGON ((-86.78710218969172 36.15247414829095, -86.76917781030828 36.15247414829095, -86.76917781030828 36.16694585170906, -86.78710218969172 36.16694585170906, -86.78710218969172 36.15247414829095))"
uber,72,2019-08-11 16:00:08,"POLYGON ((-86.78710218969172 36.15247414829095, -86.76917781030828 36.15247414829095, -86.76917781030828 36.16694585170906, -86.78710218969172 36.16694585170906, -86.78710218969172 36.15247414829095))"
bird,305,2019-08-11 17:00:09,"POLYGON ((-86.78610025553699 36.15305014829094, -86.76817574446299 36.15305014829094, -86.76817574446299 36.16752185170908, -86.78610025553699 36.16752185170908, -86.78610025553699 36.15305014829094))"
lime,59,2019-08-11 17:00:09,"POLYGON ((-86.78610025553699 36.15305014829094, -86.76817574446299 36.15305014829094, -86.76817574446299 36.16752185170908, -86.78610025553699 36.16752185170908, -86.78610025553699 36.15305014829094))"
lyft,59,2019-08-11 17:00:09,"POLYGON ((-86.78610025553699 36.15305014829094, -86.76817574446299 36.15305014829094, -86.76817574446299 36.16752185170908, -86.78610025553699 36.16752185170908, -86.78610025553699 36.15305014829094))"
spin,107,2019-08-11 17:00:09,"POLYGON ((-86.78610025553699 36.15305014829094, -86.76817574446299 36.15305014829094, -86.76817574446299 36.16752185170908, -86.78610025553699 36.16752185170908, -86.78610025553699 36.15305014829094))"
uber,67,2019-08-11 17:00:09,"POLYGON ((-86.78610025553699 36.15305014829094, -86.76817574446299 36.15305014829094, -86.76817574446299 36.16752185170908, -86.78610025553699 36.16752185170908, -86.78610025553699 36.15305014829094))"
bird,315,2019-08-11 20:00:08,"POLYGON ((-86.78640610212955 36.15170814829094, -86.76848189787047 36.15170814829094, -86.76848189787047 36.16617985170907, -86.78640610212955 36.16617985170907, -86.78640610212955 36.15170814829094))"
lime,43,2019-08-11 20:00:08,"POLYGON ((-86.78640610212955 36.15170814829094, -86.76848189787047 36.15170814829094, -86.76848189787047 36.16617985170907, -86.78640610212955 36.16617985170907, -86.78640610212955 36.15170814829094))"
lyft,68,2019-08-11 20:00:08,"POLYGON ((-86.78640610212955 36.15170814829094, -86.76848189787047 36.15170814829094, -86.76848189787047 36.16617985170907, -86.78640610212955 36.16617985170907, -86.78640610212955 36.15170814829094))"
spin,108,2019-08-11 20:00:08,"POLYGON ((-86.78640610212955 36.15170814829094, -86.76848189787047 36.15170814829094, -86.76848189787047 36.16617985170907, -86.78640610212955 36.16617985170907, -86.78640610212955 36.15170814829094))"
uber,64,2019-08-11 20:00:08,"POLYGON ((-86.78640610212955 36.15170814829094, -86.76848189787047 36.15170814829094, -86.76848189787047 36.16617985170907, -86.78640610212955 36.16617985170907, -86.78640610212955 36.15170814829094))"
bird,306,2019-08-11 21:00:08,"POLYGON ((-86.78971787798088 36.14974714829095, -86.7717941220191 36.14974714829095, -86.7717941220191 36.16421885170907, -86.78971787798088 36.16421885170907, -86.78971787798088 36.14974714829095))"
lime,38,2019-08-11 21:00:08,"POLYGON ((-86.78971787798088 36.14974714829095, -86.7717941220191 36.14974714829095, -86.7717941220191 36.16421885170907, -86.78971787798088 36.16421885170907, -86.78971787798088 36.14974714829095))"
lyft,58,2019-08-11 21:00:08,"POLYGON ((-86.78971787798088 36.14974714829095, -86.7717941220191 36.14974714829095, -86.7717941220191 36.16421885170907, -86.78971787798088 36.16421885170907, -86.78971787798088 36.14974714829095))"
spin,111,2019-08-11 21:00:08,"POLYGON ((-86.78971787798088 36.14974714829095, -86.7717941220191 36.14974714829095, -86.7717941220191 36.16421885170907, -86.78971787798088 36.16421885170907, -86.78971787798088 36.14974714829095))"
uber,53,2019-08-11 21:00:08,"POLYGON ((-86.78971787798088 36.14974714829095, -86.7717941220191 36.14974714829095, -86.7717941220191 36.16421885170907, -86.78971787798088 36.16421885170907, -86.78971787798088 36.14974714829095))"
